TemperatureC,Vitesse0,Vitesse1,Vitesse2,FractionLiq,Concentration_carbon,Concentration_chromium,FractionBCC,FractionFCC,FractionM7C3,FractionCementite,vtkValidPointMask,arc_length,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__
101.668,1.25741e-032,1.47338e-033,-1.28855e-032,0,1.98831,30.0805,0.71673,0.0051636,0,0.278106,1,0,-4.49829e-007,5.49946e-007,0,0,0
101.766,5.44788e-018,1.16459e-018,1.47815e-017,0,1.98563,30.0545,0.71709,0.00517671,0,0.277732,1,0.00015,-4.49829e-007,5.49946e-007,0.00015,1,0
101.863,5.93046e-018,8.89196e-018,7.2137e-017,0,1.98339,30.035,0.717392,0.00518843,0,0.277419,1,0.0003,-4.49829e-007,5.49946e-007,0.0003,2,1
101.961,6.41305e-018,1.66193e-017,1.29493e-016,0,1.98115,30.0155,0.717694,0.00520016,0,0.277106,1,0.00045,-4.49829e-007,5.49946e-007,0.00045,3,0
102.058,6.89563e-018,2.43467e-017,1.86848e-016,0,1.97891,29.996,0.717995,0.00521188,0,0.276792,1,0.0006,-4.49829e-007,5.49946e-007,0.0006,4,0
102.156,7.37822e-018,3.20741e-017,2.44204e-016,0,1.97668,29.9765,0.718297,0.0052236,0,0.276479,1,0.00075,-4.49829e-007,5.49946e-007,0.00075,5,0
102.254,6.55823e-018,3.94831e-017,2.96617e-016,0,1.97425,29.9545,0.718625,0.00523391,0,0.276141,1,0.0009,-4.49829e-007,5.49946e-007,0.0009,6,0
102.351,4.87655e-018,4.66814e-017,3.45761e-016,0,1.97171,29.9308,0.718971,0.00524329,0,0.275785,1,0.00105,-4.49829e-007,5.49946e-007,0.00105,7,0
102.449,3.28655e-018,5.36767e-017,3.92655e-016,0,1.96911,29.9062,0.719326,0.00525206,0,0.275421,1,0.0012,-4.49829e-007,5.49946e-007,0.0012,8,0
102.546,2.07945e-018,5.98242e-017,4.30148e-016,0,1.96626,29.8781,0.719719,0.00525835,0,0.275023,1,0.00135,-4.49829e-007,5.49946e-007,0.00135,9,0
102.644,1.41507e-017,5.48594e-017,4.91601e-016,0,1.96499,29.87,0.719895,0.00526042,0,0.274844,1,0.0015,-4.49829e-007,5.49946e-007,0.0015,10,0
102.739,-1.822e-017,6.11064e-017,3.27755e-016,0,1.96416,29.8678,0.720023,0.00524827,0,0.274729,1,0.00165,-4.49829e-007,5.49946e-007,0.00165,11,0
102.835,-4.36924e-017,4.77936e-017,1.852e-016,0,1.96316,29.8625,0.720179,0.00523061,0,0.27459,1,0.0018,-4.49829e-007,5.49946e-007,0.0018,12,0
102.93,-6.91648e-017,3.44808e-017,4.26443e-017,0,1.96217,29.8573,0.720336,0.00521294,0,0.274451,1,0.00195,-4.49829e-007,5.49946e-007,0.00195,13,0
103.026,-9.46373e-017,2.11681e-017,-9.99113e-017,0,1.96117,29.852,0.720493,0.00519528,0,0.274311,1,0.0021,-4.49829e-007,5.49946e-007,0.0021,14,0
103.122,-1.2011e-016,7.8553e-018,-2.42467e-016,0,1.96018,29.8468,0.72065,0.00517761,0,0.274172,1,0.00225,-4.49829e-007,5.49946e-007,0.00225,15,0
103.217,-1.13686e-016,-1.1794e-017,-2.69995e-016,0,1.95897,29.8382,0.720838,0.00515956,0,0.274003,1,0.0024,-4.49829e-007,5.49946e-007,0.0024,16,0
103.311,-8.04566e-017,-3.30968e-017,-1.9753e-016,0,1.95774,29.8285,0.721034,0.00513572,0,0.273831,1,0.00255,-4.49829e-007,5.49946e-007,0.00255,17,0
103.405,-4.47793e-017,-4.08646e-017,-1.03549e-016,0,1.95709,29.8242,0.721169,0.00509095,0,0.27374,1,0.0027,-4.49829e-007,5.49946e-007,0.0027,18,0
103.499,-9.102e-018,-4.86324e-017,-9.5675e-018,0,1.95644,29.8199,0.721305,0.00504618,0,0.273649,1,0.00285,-4.49829e-007,5.49946e-007,0.00285,19,0
103.593,2.65753e-017,-5.64002e-017,8.44138e-017,0,1.95579,29.8156,0.72144,0.00500141,0,0.273558,1,0.003,-4.49829e-007,5.49946e-007,0.003,20,0
103.687,6.22527e-017,-6.4168e-017,1.78395e-016,0,1.95514,29.8113,0.721576,0.00495664,0,0.273467,1,0.00315,-4.49829e-007,5.49946e-007,0.00315,21,0
103.781,9.07738e-017,-6.34783e-017,2.57966e-016,0,1.95472,29.8087,0.721692,0.00489994,0,0.273408,1,0.0033,-4.49829e-007,5.49946e-007,0.0033,22,0
103.874,8.30521e-017,-4.33752e-017,2.52965e-016,0,1.95505,29.8117,0.721738,0.00480699,0,0.273455,1,0.00345,-4.49829e-007,5.49946e-007,0.00345,23,0
103.967,5.19992e-017,-3.62736e-017,1.80905e-016,0,1.95546,29.816,0.721771,0.00471708,0,0.273511,1,0.0036,-4.49829e-007,5.49946e-007,0.0036,24,0
104.059,4.72014e-017,-2.27455e-017,1.01537e-016,0,1.95595,29.8215,0.721794,0.00462525,0,0.27358,1,0.00375,-4.49829e-007,5.49946e-007,0.00375,25,0
104.152,5.15509e-017,-7.74162e-018,1.85985e-017,0,1.95644,29.827,0.721817,0.00453366,0,0.273649,1,0.0039,-4.49829e-007,5.49946e-007,0.0039,26,0
104.244,4.2137e-017,-2.84835e-018,-6.95517e-017,0,1.95657,29.8287,0.721881,0.00445118,0,0.273668,1,0.00405,-4.49829e-007,5.49946e-007,0.00405,27,0
104.336,3.2723e-017,2.04492e-018,-1.57702e-016,0,1.95671,29.8303,0.721944,0.00436869,0,0.273687,1,0.0042,-4.49829e-007,5.49946e-007,0.0042,28,0
104.427,3.20117e-017,1.15708e-017,-1.89979e-016,0,1.95703,29.8328,0.721995,0.00427259,0,0.273732,1,0.00435,-4.49829e-007,5.49946e-007,0.00435,29,0
104.519,3.46612e-017,2.28857e-017,-2.0068e-016,0,1.95742,29.8357,0.722042,0.00417123,0,0.273787,1,0.0045,-4.49829e-007,5.49946e-007,0.0045,30,0
104.61,3.65448e-017,3.44918e-017,-2.0904e-016,0,1.95778,29.8382,0.722091,0.00407168,0,0.273837,1,0.00465,-4.49829e-007,5.49946e-007,0.00465,31,0
104.701,1.48656e-017,4.5034e-017,-1.39229e-016,0,1.95681,29.8298,0.72226,0.00403925,0,0.273701,1,0.0048,-4.49829e-007,5.49946e-007,0.0048,32,0
104.792,-5.33999e-018,3.72376e-017,-6.29835e-017,0,1.9555,29.8185,0.722458,0.00402309,0,0.273518,1,0.00495,-4.49829e-007,5.49946e-007,0.00495,33,0
104.882,-2.55456e-017,2.94412e-017,1.32624e-017,0,1.9542,29.8073,0.722656,0.00400692,0,0.273336,1,0.0051,-4.49829e-007,5.49946e-007,0.0051,34,0
104.972,-4.12326e-017,1.78348e-017,5.49511e-017,0,1.9531,29.7992,0.722822,0.00399537,0,0.273182,1,0.00525,-4.49829e-007,5.49946e-007,0.00525,35,0
105.062,-5.1946e-017,2.03489e-018,5.86022e-017,0,1.95222,29.7944,0.722951,0.00398891,0,0.27306,1,0.0054,-4.49829e-007,5.49946e-007,0.0054,36,0
105.152,-6.26595e-017,-1.37651e-017,6.22534e-017,0,1.95135,29.7897,0.72308,0.00398245,0,0.272937,1,0.00555,-4.49829e-007,5.49946e-007,0.00555,37,0
105.241,-4.60564e-017,-1.64022e-017,6.31674e-017,0,1.95061,29.7882,0.723176,0.00399045,0,0.272833,1,0.0057,-4.49829e-007,5.49946e-007,0.0057,38,0
105.33,-2.18129e-017,-1.53576e-017,6.3316e-017,0,1.9499,29.7877,0.723262,0.0040025,0,0.272735,1,0.00585,-4.49829e-007,5.49946e-007,0.00585,39,0
105.419,-4.29204e-018,-1.87839e-017,4.02977e-017,0,1.94926,29.7877,0.723343,0.00401162,0,0.272645,1,0.006,-4.49829e-007,5.49946e-007,0.006,40,0
105.509,-8.18211e-018,-3.64496e-017,-5.6506e-017,0,1.94881,29.7893,0.723406,0.00401146,0,0.272582,1,0.00615,-4.49829e-007,5.49946e-007,0.00615,41,0
105.597,-2.83258e-018,-3.58681e-017,-1.14783e-016,0,1.94801,29.7881,0.723504,0.00402662,0,0.27247,1,0.0063,-4.49829e-007,5.49946e-007,0.0063,42,0
105.685,1.23164e-017,-1.59337e-017,-1.32199e-016,0,1.94682,29.7841,0.723638,0.00405804,0,0.272304,1,0.00645,-4.49829e-007,5.49946e-007,0.00645,43,0
105.774,2.74655e-017,4.00076e-018,-1.49615e-016,0,1.94564,29.78,0.723772,0.00408946,0,0.272138,1,0.0066,-4.49829e-007,5.49946e-007,0.0066,44,0
105.861,2.59811e-017,2.41296e-017,-1.29421e-016,0,1.94484,29.7778,0.723881,0.0040913,0,0.272027,1,0.00675,-4.49829e-007,5.49946e-007,0.00675,45,0
105.949,1.63999e-017,4.43533e-017,-9.09195e-017,0,1.94424,29.7765,0.723978,0.00407876,0,0.271943,1,0.0069,-4.49829e-007,5.49946e-007,0.0069,46,0
106.036,6.81863e-018,6.45768e-017,-5.24182e-017,0,1.94364,29.7752,0.724075,0.00406621,0,0.271858,1,0.00705,-4.49829e-007,5.49946e-007,0.00705,47,0
106.123,-2.76263e-018,8.48004e-017,-1.39168e-017,0,1.94303,29.7738,0.724171,0.00405366,0,0.271774,1,0.0072,-4.49829e-007,5.49946e-007,0.0072,48,0
106.21,-2.61175e-017,9.47225e-017,4.68545e-018,0,1.94232,29.7703,0.724289,0.00403595,0,0.271674,1,0.00735,-4.49829e-007,5.49946e-007,0.00735,49,0
106.297,-6.75694e-017,9.49882e-017,4.13894e-017,0,1.94183,29.7683,0.72439,0.00400299,0,0.271606,1,0.0075,-4.49829e-007,5.49946e-007,0.0075,50,0
106.384,-8.99543e-017,9.29499e-017,7.2322e-017,0,1.94135,29.7651,0.7245,0.00395998,0,0.271539,1,0.00765,-4.49829e-007,5.49946e-007,0.00765,51,0
106.469,-3.74018e-017,9.51917e-017,7.9233e-017,0,1.94139,29.7639,0.724576,0.00387963,0,0.271544,1,0.0078,-4.49829e-007,5.49946e-007,0.0078,52,0
106.555,7.41885e-018,9.29801e-017,8.30275e-017,0,1.94132,29.7615,0.724665,0.00380068,0,0.271534,1,0.00795,-4.49829e-007,5.49946e-007,0.00795,53,0
106.64,1.73407e-017,7.06679e-017,7.27558e-017,0,1.94079,29.7539,0.724812,0.00372805,0,0.27146,1,0.0081,-4.49829e-007,5.49946e-007,0.0081,54,0
106.726,2.72625e-017,4.83557e-017,6.2484e-017,0,1.94026,29.7463,0.724958,0.00365543,0,0.271386,1,0.00825,-4.49829e-007,5.49946e-007,0.00825,55,0
106.811,3.00282e-017,2.65798e-017,4.1396e-017,0,1.93991,29.7401,0.725086,0.00357739,0,0.271337,1,0.0084,-4.49829e-007,5.49946e-007,0.0084,56,0
106.896,1.85502e-017,1.02876e-017,-5.76279e-019,0,1.94011,29.7388,0.725151,0.00348446,0,0.271364,1,0.00855,-4.49829e-007,5.49946e-007,0.00855,57,0
106.981,4.36066e-017,2.01442e-017,1.68823e-017,0,1.94076,29.7429,0.725152,0.00339232,0,0.271456,1,0.0087,-4.49829e-007,5.49946e-007,0.0087,58,0
107.065,2.53993e-017,2.8204e-017,1.88509e-017,0,1.94185,29.7527,0.725096,0.00329575,0,0.271609,1,0.00885,-4.49829e-007,5.49946e-007,0.00885,59,0
107.149,-8.44703e-018,3.56142e-017,1.52202e-017,0,1.94311,29.7646,0.725018,0.00319759,0,0.271785,1,0.009,-4.49829e-007,5.49946e-007,0.009,60,0
107.233,-4.22934e-017,4.30245e-017,1.15895e-017,0,1.94437,29.7765,0.72494,0.00309943,0,0.271961,1,0.00915,-4.49829e-007,5.49946e-007,0.00915,61,0
107.317,-8.45857e-017,2.50205e-017,-2.00787e-018,0,1.94452,29.7749,0.725006,0.00301212,0,0.271982,1,0.0093,-4.49829e-007,5.49946e-007,0.0093,62,0
107.401,-1.06524e-016,3.70663e-017,-1.75551e-017,0,1.94473,29.7755,0.725055,0.00293368,0,0.272012,1,0.00945,-4.49829e-007,5.49946e-007,0.00945,63,0
107.484,-9.82468e-017,9.39672e-017,-3.57924e-017,0,1.94504,29.7796,0.725077,0.00286812,0,0.272055,1,0.0096,-4.49829e-007,5.49946e-007,0.0096,64,0
107.567,-8.99693e-017,1.50868e-016,-5.40297e-017,0,1.94535,29.7837,0.725099,0.00280255,0,0.272098,1,0.00975,-4.49829e-007,5.49946e-007,0.00975,65,0
107.649,-8.16917e-017,2.07769e-016,-7.2267e-017,0,1.94566,29.7878,0.725121,0.00273698,0,0.272142,1,0.0099,-4.49829e-007,5.49946e-007,0.0099,66,0
107.732,-6.94173e-017,2.44245e-016,-8.42794e-017,0,1.9459,29.791,0.725153,0.0026718,0,0.272176,1,0.01005,-4.49829e-007,5.49946e-007,0.01005,67,0
107.815,-3.97732e-017,2.25018e-016,-8.12588e-017,0,1.94581,29.7895,0.725229,0.00260891,0,0.272162,1,0.0102,-4.49829e-007,5.49946e-007,0.0102,68,0
107.898,-4.37216e-018,2.07044e-016,-8.24967e-017,0,1.9455,29.7853,0.725331,0.00254918,0,0.272119,1,0.01035,-4.49829e-007,5.49946e-007,0.01035,69,0
107.979,-7.41909e-018,1.76658e-016,-4.91278e-017,0,1.94508,29.7833,0.725428,0.00251212,0,0.27206,1,0.0105,-4.49829e-007,5.49946e-007,0.0105,70,0
108.06,-7.84848e-018,1.58866e-016,2.28975e-017,0,1.94417,29.7757,0.725582,0.00248565,0,0.271932,1,0.01065,-4.49829e-007,5.49946e-007,0.01065,71,0
108.141,-8.27787e-018,1.41074e-016,9.49229e-017,0,1.94325,29.7682,0.725736,0.00245917,0,0.271805,1,0.0108,-4.49829e-007,5.49946e-007,0.0108,72,0
108.222,-2.20742e-018,1.12243e-016,1.65405e-016,0,1.94225,29.759,0.725905,0.00242926,0,0.271665,1,0.01095,-4.49829e-007,5.49946e-007,0.01095,73,0
108.303,2.02578e-017,5.43317e-017,2.29947e-016,0,1.94106,29.7459,0.726111,0.00239061,0,0.271498,1,0.0111,-4.49829e-007,5.49946e-007,0.0111,74,0
108.384,3.69199e-017,-2.75047e-018,2.80902e-016,0,1.94006,29.7361,0.726287,0.00235455,0,0.271358,1,0.01125,-4.49829e-007,5.49946e-007,0.01125,75,0
108.465,5.35819e-017,-5.98327e-017,3.31857e-016,0,1.93907,29.7262,0.726462,0.00231848,0,0.271219,1,0.0114,-4.49829e-007,5.49946e-007,0.0114,76,0
108.546,3.93961e-017,-9.42575e-017,3.57016e-016,0,1.93914,29.7321,0.726483,0.00228709,0,0.27123,1,0.01155,-4.49829e-007,5.49946e-007,0.01155,77,0
108.626,8.69016e-018,-8.65209e-017,2.92895e-016,0,1.9402,29.7504,0.726375,0.00224644,0,0.271378,1,0.0117,-4.49829e-007,5.49946e-007,0.0117,78,0
108.705,1.42256e-017,-7.26452e-017,1.76752e-016,0,1.94045,29.7543,0.726399,0.00218747,0,0.271412,1,0.01185,-4.49829e-007,5.49946e-007,0.01185,79,0
108.784,1.9761e-017,-5.87695e-017,6.0609e-017,0,1.9407,29.7582,0.726424,0.0021285,0,0.271447,1,0.012,-4.49829e-007,5.49946e-007,0.012,80,0
108.864,2.52964e-017,-4.48937e-017,-5.5535e-017,0,1.94094,29.7622,0.726449,0.00206954,0,0.271481,1,0.01215,-4.49829e-007,5.49946e-007,0.01215,81,0
108.943,3.08319e-017,-3.1018e-017,-1.71678e-016,0,1.94119,29.7661,0.726473,0.00201057,0,0.271516,1,0.0123,-4.49829e-007,5.49946e-007,0.0123,82,0
109.022,1.49476e-017,-2.84591e-017,-2.06533e-016,0,1.94045,29.7601,0.726613,0.00197456,0,0.271412,1,0.01245,-4.49829e-007,5.49946e-007,0.01245,83,0
109.101,-1.09381e-018,-3.63564e-017,-2.07396e-016,0,1.93993,29.7565,0.726726,0.00193487,0,0.271339,1,0.0126,-4.49829e-007,5.49946e-007,0.0126,84,0
109.179,-1.9182e-017,-4.00763e-017,-1.67275e-016,0,1.94036,29.7611,0.726733,0.00186623,0,0.2714,1,0.01275,-4.49829e-007,5.49946e-007,0.01275,85,0
109.256,-2.64482e-017,-8.27425e-018,-1.57704e-016,0,1.94065,29.7631,0.726765,0.00179451,0,0.27144,1,0.0129,-4.49829e-007,5.49946e-007,0.0129,86,0
109.334,-2.8824e-017,2.65742e-017,-1.14402e-016,0,1.94057,29.7597,0.726847,0.00172376,0,0.271429,1,0.01305,-4.49829e-007,5.49946e-007,0.01305,87,0
109.412,-2.94769e-017,6.2496e-017,-5.92163e-017,0,1.94037,29.7545,0.726945,0.00165335,0,0.271401,1,0.0132,-4.49829e-007,5.49946e-007,0.0132,88,0
109.489,-2.51732e-017,9.39093e-017,2.51196e-019,0,1.94022,29.7498,0.727038,0.00158127,0,0.271381,1,0.01335,-4.49829e-007,5.49946e-007,0.01335,89,0
109.567,-1.96983e-017,1.24257e-016,6.07306e-017,0,1.94009,29.7452,0.727129,0.00150878,0,0.271362,1,0.0135,-4.49829e-007,5.49946e-007,0.0135,90,0
109.645,-1.48907e-017,1.49093e-016,1.07837e-016,0,1.94005,29.7417,0.727208,0.00143515,0,0.271357,1,0.01365,-4.49829e-007,5.49946e-007,0.01365,91,0
109.721,-2.15797e-017,1.10034e-016,3.97218e-017,0,1.94087,29.7482,0.727177,0.00135098,0,0.271472,1,0.0138,-4.49829e-007,5.49946e-007,0.0138,92,0
109.798,-4.1565e-017,3.2696e-017,-2.96189e-017,0,1.94182,29.7557,0.727131,0.00126525,0,0.271604,1,0.01395,-4.49829e-007,5.49946e-007,0.01395,93,0
109.874,-4.05208e-017,1.27495e-017,-6.69268e-017,0,1.94272,29.7642,0.727073,0.0011965,0,0.271731,1,0.0141,-4.49829e-007,5.49946e-007,0.0141,94,0
109.95,-1.56531e-017,5.78198e-017,-6.79463e-017,0,1.94358,29.774,0.727002,0.00114701,0,0.271851,1,0.01425,-4.49829e-007,5.49946e-007,0.01425,95,0
110.025,9.21452e-018,1.0289e-016,-6.89659e-017,0,1.94444,29.7838,0.726931,0.00109751,0,0.271972,1,0.0144,-4.49829e-007,5.49946e-007,0.0144,96,0
110.101,4.78895e-017,8.06779e-017,-6.95898e-017,0,1.94441,29.7804,0.72699,0.00104374,0,0.271966,1,0.01455,-4.49829e-007,5.49946e-007,0.01455,97,0
110.177,8.67097e-017,5.77583e-017,-7.02096e-017,0,1.94436,29.7768,0.727051,0.000989933,0,0.27196,1,0.0147,-4.49829e-007,5.49946e-007,0.0147,98,0
110.253,9.39319e-017,6.19976e-017,-4.14032e-017,0,1.94449,29.7766,0.727072,0.000950825,0,0.271978,1,0.01485,-4.49829e-007,5.49946e-007,0.01485,99,0
110.328,7.9538e-017,7.69899e-017,-5.92657e-018,0,1.94472,29.779,0.727065,0.00092456,0,0.27201,1,0.015,-4.49829e-007,5.49946e-007,0.015,100,0
110.403,6.4818e-017,6.1156e-017,-2.36448e-017,0,1.94491,29.7824,0.727055,0.000909513,0,0.272036,1,0.01515,-4.49829e-007,5.49946e-007,0.01515,101,0
110.478,4.05286e-017,6.14434e-017,-1.34982e-017,0,1.94458,29.7799,0.727104,0.000905438,0,0.271991,1,0.0153,-4.49829e-007,5.49946e-007,0.0153,102,0
110.552,3.86505e-018,8.25775e-017,3.26809e-017,0,1.94361,29.7695,0.72723,0.000915552,0,0.271855,1,0.01545,-4.49829e-007,5.49946e-007,0.01545,103,0
110.627,-3.27985e-017,1.03712e-016,7.88599e-017,0,1.94264,29.7591,0.727356,0.000925666,0,0.271718,1,0.0156,-4.49829e-007,5.49946e-007,0.0156,104,0
110.701,-4.01639e-017,1.09956e-016,1.13582e-016,0,1.94107,29.7419,0.727561,0.000940791,0,0.271498,1,0.01575,-4.49829e-007,5.49946e-007,0.01575,105,0
110.775,-3.04492e-017,1.0192e-016,1.34209e-016,0,1.93938,29.7238,0.727781,0.000956615,0,0.271263,1,0.0159,-4.49829e-007,5.49946e-007,0.0159,106,0
110.849,5.7921e-018,5.25033e-017,1.06909e-016,0,1.93836,29.7149,0.727915,0.000965805,0,0.27112,1,0.01605,-4.49829e-007,5.49946e-007,0.01605,107,0
110.923,-1.0629e-017,5.51968e-017,6.57083e-017,0,1.9388,29.7262,0.727854,0.00096511,0,0.271181,1,0.0162,-4.49829e-007,5.49946e-007,0.0162,108,0
110.996,-2.70501e-017,5.78902e-017,2.45079e-017,0,1.93924,29.7376,0.727793,0.000964416,0,0.271243,1,0.01635,-4.49829e-007,5.49946e-007,0.01635,109,0
111.069,-2.73989e-017,4.60262e-017,-3.06432e-018,0,1.93929,29.7422,0.72779,0.000960576,0,0.27125,1,0.0165,-4.49829e-007,5.49946e-007,0.0165,110,0
111.142,-2.01896e-017,2.73163e-017,-2.42285e-017,0,1.93915,29.7436,0.727814,0.000955256,0,0.27123,1,0.01665,-4.49829e-007,5.49946e-007,0.01665,111,0
111.215,-1.29803e-017,8.60647e-018,-4.53926e-017,0,1.93901,29.7451,0.727839,0.000949937,0,0.271211,1,0.0168,-4.49829e-007,5.49946e-007,0.0168,112,0
111.288,-1.77303e-017,9.63465e-018,-1.81711e-017,0,1.93894,29.747,0.727857,0.000941459,0,0.271202,1,0.01695,-4.49829e-007,5.49946e-007,0.01695,113,0
111.36,-2.25979e-017,1.71922e-017,2.74762e-017,0,1.939,29.7501,0.727862,0.000927769,0,0.27121,1,0.0171,-4.49829e-007,5.49946e-007,0.0171,114,0
111.433,-2.74656e-017,2.47498e-017,7.31235e-017,0,1.93906,29.7533,0.727868,0.000914079,0,0.271218,1,0.01725,-4.49829e-007,5.49946e-007,0.01725,115,0
111.505,-3.23331e-017,3.23073e-017,1.1877e-016,0,1.93912,29.7564,0.727873,0.000900389,0,0.271227,1,0.0174,-4.49829e-007,5.49946e-007,0.0174,116,0
111.577,-4.302e-017,3.7007e-017,1.48463e-016,0,1.93918,29.7588,0.72788,0.000885177,0,0.271235,1,0.01755,-4.49829e-007,5.49946e-007,0.01755,117,0
111.649,-6.05644e-017,3.60462e-017,1.4889e-016,0,1.93925,29.7599,0.727888,0.000866672,0,0.271246,1,0.0177,-4.49829e-007,5.49946e-007,0.0177,118,0
